,title,rank,cluster,genre,year,foreign,language,country
3,Brokeback Mountain,87.0,3,"['Drama', 'Romance', 'Western']",2005,0,['English'],"['USA', 'Canada']"
0,Capote,88.0,0,"['Biography', 'Drama', 'Crime']",2005,0,['English'],"['USA', 'Canada']"
2,Crash,66.0,2,"['Drama', 'Crime']",2005,0,"['English', 'Mandarin', 'Spanish', 'Persian', 'Korean']","['USA', 'Germany']"
3,Munich,74.0,3,"['Drama', 'History', 'Thriller']",2005,0,"['English', 'German', 'French', 'Arabic', 'Russian', 'Italian', 'Hebrew', 'Greek']","['USA', 'France', 'Canada']"
2,Don't Tell,22.0,2,['Drama'],2005,1,['English'],['USA']
2,Paradise Now,71.0,2,"['Drama', 'Crime']",2005,1,"['English', 'Arabic']","['Germany', 'France', 'Israel', 'Netherlands', 'Occupied Palestinian Territory']"
0,Sophie Scholl: The Final Days,76.0,0,"['Biography', 'Drama', 'History', 'Crime', 'War']",2005,1,['German'],['Germany']
3,Tsotsi,70.0,3,"['Drama', 'Crime']",2005,1,"['English', 'Afrikaans', 'Xhosa', 'Zulu']","['UK', 'South Africa']"
0,Babel,69.0,0,['Drama'],2006,0,"['English', 'French', 'Spanish', 'Arabic', 'Japanese', 'Japanese Sign Language', 'Berber']","['USA', 'Mexico', 'France']"
2,The Departed,85.0,2,"['Mystery', 'Thriller', 'Crime']",2006,0,"['English', 'Cantonese']","['USA', 'Hong Kong']"
1,Letters from Iwo Jima,89.0,1,"['Drama', 'History', 'War']",2006,0,"['English', 'Japanese']",['USA']
0,The Queen,91.0,0,"['Biography', 'Drama']",2006,0,"['English', 'German', 'French']","['UK', 'France', 'Italy']"
0,United 93,90.0,0,"['Drama', 'History', 'Crime']",2006,0,"['English', 'German', 'Arabic']","['USA', 'UK', 'France']"
0,The Lives of Others,89.0,0,"['Drama', 'Thriller']",2006,1,['German'],['Germany']
1,Pan's Labyrinth,98.0,1,"['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']",2006,1,['Spanish'],"['USA', 'Spain', 'Mexico']"
3,Water,77.0,3,"['Drama', 'Romance']",2006,1,['Hindi'],"['India', 'Canada']"
