name,year,competition_category,winner,url,summary,countries,languages,genre,metascore
The Last Emperor,1987,DIRECTING,TRUE,https://www.metacritic.com/movie/the-last-emperor/details,The story of Pu Yi's life from his reign as Emperor to his last days as a peasant worker in the People's Republic.,"['China', 'UK', 'France', 'Italy']","['English', 'Mandarin', 'Russian', 'Japanese']","['Biography', 'Drama', 'History']",76
Moonstruck,1987,DIRECTING,FALSE,https://www.metacritic.com/movie/moonstruck/details,"In this romantic comedy, Loretta (Cher), a young widow, feels unlucky in love and is content to wed a man she does not love (Aiello)...until she meets and falls hopelessly in love with his younger brother (Cage).",['USA'],"['English', 'Italian']","['Drama', 'Comedy', 'Romance']",83
My Life as a Dog,1987,DIRECTING,FALSE,https://www.metacritic.com/movie/my-life-as-a-dog/details,"A boy and his brother don't get along well. In order to let their ill mother rest, they're separated and sent each one with their relatives.",['SE'],['Swedish'],"['Drama', 'Comedy']",82
Babette's Feast,1987,FOREIGN LANGUAGE FILM,TRUE,https://www.metacritic.com/movie/babettes-feast/details,"During the late 19th century, a strict religious community in a Danish village takes in a French refugee from the Franco-Prussian War as a servant to the late pastor's daughters.",['DK'],"['English', 'French', 'Italian', 'Danish', 'Swedish']",['Drama'],78
Broadcast News,1987,BEST PICTURE,FALSE,https://www.metacritic.com/movie/broadcast-news/details,"Tom Grunick, a rising anchorman, has plenty of on-camera savvy, personality and good looks but little in the way of brains. He may be dumb as a doornail but Tom's got the star presence his network needs. Then there's Aaron Altman, a less than good-looking newsman, who's dedicated, diligent and down-to-earth. Aaron would love to be an anchor but he freezes up the moment he's in front of the camera. Spunky, smart news producer Jane Craig is excellent at her job but has difficulty handling the pressure. Can these workaholics mask their personal quirks long enough to jump-start their professional lives? (20h Century Fox)",['USA'],['English'],"['Drama', 'Comedy', 'Romance']",84
A Fish Called Wanda,1988,DIRECTING,FALSE,https://www.metacritic.com/movie/a-fish-called-wanda/details,"In this zany comedy, four disparate characters (Cleese, Curtis, Kline, Palin) attempt a daring jewel heist.","['USA', 'UK']","['English', 'Russian', 'Italian']","['Comedy', 'Crime']",80
The Last Temptation of Christ,1988,DIRECTING,FALSE,https://www.metacritic.com/movie/the-last-temptation-of-christ/details,"A thought-provoking interpretation of the classic tale of Christ, Temptation explores the idea of Christ as a mere mortal, who, at the threshold of self-sacrifice, is tempted by the desire to continue on with his life.",['USA'],['English'],['Drama'],80
Mississippi Burning,1988,DIRECTING,FALSE,https://www.metacritic.com/movie/mississippi-burning/details,"A fictionalized version of the murders of three civil rights activists on June 21, 1964 in Mississippi. The FBI comes in to solve the case and succeeds only after using unethical and illegal means. (MGM)",['USA'],['English'],"['Drama', 'Mystery', 'Thriller', 'Crime']",65
Rain Man,1988,DIRECTING,TRUE,https://www.metacritic.com/movie/rain-man/details,"What begins with a cold-hearted attempt by one man to steal his autistic brother's inheritance evolves into a cross-country odyssey of love, family and self-discovery.",['USA'],"['English', 'Italian']",['Drama'],65
Working Girl,1988,DIRECTING,FALSE,https://www.metacritic.com/movie/working-girl/details,"Ambitious secretary Tess McGill (Melanie Griffith) makes her up the corporate ladder with a little creative deception by ""taking over"" when her boss Katherine Parker (Sigourney Weaver) breaks her leg on a ski trip.",['USA'],['English'],"['Drama', 'Comedy', 'Romance']",73
Women on the Verge of a Nervous Breakdown,1988,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/women-on-the-verge-of-a-nervous-breakdown/details,"The wildly hysterical international box office hit, women on the verge of a nervous breakdown, introduces us to Pepa who has just been jilted by an answering machine. The love of her life, Ivan, has just ended their relationship and she is heartbroken. But misery does love company. (MGM)",['Spain'],['Spanish'],"['Drama', 'Comedy']",85
The Accidental Tourist,1988,BEST PICTURE,FALSE,https://www.metacritic.com/movie/the-accidental-tourist/details,"An author of travel books (Hurt) sees his world turned upside down when his son dies, his wife (Turner) leaves him, and he meets an eccentric dog trainer (Davis).",['USA'],['English'],"['Drama', 'Romance']",53
Dangerous Liaisons,1988,BEST PICTURE,FALSE,https://www.metacritic.com/movie/dangerous-liaisons/details,"A cruel wager is made between the beautiful but deviousMarquise de Merteuil (Close) and her former lover, the Vicomte de Valmont (Malkovich). The Marquise challenges Valmont to seduce the virginal Cecile de Volanges (Thurman) before the girl can be wed. As a counter-challenge Valmont bets the Marquise that he will be able to bed the married Madame de Tourvel (Pfeiffer).","['USA', 'UK']",['English'],"['Drama', 'Romance']",74
